Rank,Number,Frequency,Percent
1,6,474,14.0
2,11,458,13.53
3,25,450,13.29
4,26,438,12.94
5,7,436,12.88
6,10,436,12.88
7,44,434,12.82
8,22,431,12.73
9,29,431,12.73
10,33,431,12.73
11,43,431,12.73
12,5,429,12.67
13,9,429,12.67
14,37,429,12.67
15,49,428,12.64
16,41,427,12.61
17,3,426,12.58
18,1,425,12.56
19,28,424,12.53
20,4,423,12.5
21,16,421,12.44
22,27,421,12.44
23,31,419,12.38
24,30,418,12.35
25,19,415,12.26
26,24,415,12.26
27,8,414,12.23
28,18,413,12.2
29,20,413,12.2
30,32,412,12.17
31,47,410,12.11
32,36,409,12.08
33,13,408,12.05
34,15,407,12.02
35,40,405,11.96
36,42,404,11.94
37,39,403,11.91
38,17,402,11.88
39,48,401,11.85
40,2,400,11.82
41,35,396,11.7
42,34,394,11.64
43,12,393,11.61
44,38,393,11.61
45,14,390,11.52
46,23,383,11.31
47,46,373,11.02
48,45,345,10.19
49,21,343,10.13
